id,owner,route,str_no,str_name,mp,county,municipality,latitude,longitude
1,"State Routes",1,0902153,"SECAUCUS RD OVER US 1&9 (TONNELLE AVE)",0.48,HUDSON,"North Bergen township",40.7602,74.0511
2,"State Routes",1,1101150,"ROUTE US 1 OVER ASSUNPINK CREEK",0.88,MERCER,"Trenton city",40.2179,74.7557
3,"State Routes",1,1101153,"US 1 OVER NJ 33 (MARKET STREET)",0.9,MERCER,"Trenton city",40.2177,74.7573
4,"State Routes",1,1101155,"EAST STATE STREET OVER ROUTE US 1",0.2,MERCER,"Trenton city",40.2207,74.7582
5,"State Routes",1,1101156,"PERRY STREET OVER ROUTE US 1",0.369999,MERCER,"Trenton city",40.2241,74.7592
6,"State Routes",1,1101159,"US 1 SB OVER NB RAMP TO OLDEN AVE (CR 622)",2.26,MERCER,"Trenton city",40.2346,74.7483
7,"State Routes",1,1101161,"US 1 OVER MULBERRY STREET",2.72,MERCER,"Trenton city",40.2384,74.7418
8,"State Routes",1,1101162,"US 1B OVER D&R CANAL & US 1 SOUTHBOUND",0.0400001,MERCER,"Trenton city",40.2405,74.7391
9,"State Routes",1,1101163,"ROUTE US 1B (STRAWBERRY ST.) OVER NEW YORK AVENUE",0.15,MERCER,"Trenton city",40.242,74.7394
10,"State Routes",1,1101164,"US 1 RAMP C OVER MARKET STREET(NJ 33)",0.9,MERCER,"Trenton city",40.2178,74.758
11,"State Routes",1,1103151,"US-1 OVER SHIPETAUKIN CR",6.33,MERCER,"Lawrence township",40.28,74.7017
12,"State Routes",1,1103152,"ROUTE US 1 & RAMP OVER D&R CANAL",6.45,MERCER,"Lawrence township",40.2797,74.7004
13,"State Routes",1,1103153,"ROUTE US 1 OVER DUCK POND RUN",8.94,MERCER,"West Windsor township",40.3065,74.668
14,"State Routes",1,1103155,"ROUTE US 1 OVER MILLSTONE RIVER",11.96,MERCER,"West Windsor township",40.3385,74.6293
15,"State Routes",1,1103158,"ALEXANDER RD OVER US 1",1.35,MERCER,"West Windsor township",40.3267,74.635
16,"State Routes",1,1103159,"MEADOW ROAD OVER US ROUTE 1",0,MERCER,"West Windsor township",40.312,74.662
17,"State Routes",1,1126150,"ROUTE US-1 OVER WHITEHEAD ROAD",3.75,MERCER,"Lawrence township",40.2484,74.7279
18,"State Routes",1,1126151,"US ROUTE 1 OVER D&R CANAL",3.85,MERCER,"Lawrence township",40.249,74.7266
19,"State Routes",1,1126152,"ROUTE US 1 SB RAMP / D&R CANAL & ABAND.RR",3.85,MERCER,"Lawrence township",40.25,74.725
20,"State Routes",1,1126153," US 1 AND D&R CANAL / SHABAKUNK CREEK",4.19,MERCER,"Lawrence township",40.2526,74.7213
21,"State Routes",1,1126154,"US 1 OVER US 1 BUSINESS NB",5.24,MERCER,"Lawrence township",40.2667,74.715
22,"State Routes",1,1126156,"US 1& US 1B SB OVER FIVE MILE RUN",5.32,MERCER,"Lawrence township",40.2683,74.7149
23,"State Routes",1,1201151,"US ROUTE 1 OVER FORRESTAL ROAD.",12.93,MIDDLESEX,"Plainsboro township",40.35,74.6167
24,"State Routes",1,1201158,"ROUTE US 1 / AMTRAK,JERSEY AVE. & LIVNGSTN AVE.",22.95,MIDDLESEX,"North Brunswick township",40.4547,74.487
25,"State Routes",1,1201162,"COLLEGE RD OVER US 1",0,MIDDLESEX,"Plainsboro township",40.3633,74.5967
26,"State Routes",1,1201163,"SCUDDERS MILL ROAD OVER US 1",0,MIDDLESEX,"Plainsboro township",40.3433,74.6233
27,"State Routes",1,1202151,"CR 606 (MILLTOWN ROAD) OVER US 1",4.42,MIDDLESEX,"North Brunswick township",40.4648,74.4483
28,"State Routes",1,1202152,"US1 OVER CONNECTOR ROAD",25.65,MIDDLESEX,"North Brunswick township",40.4672,74.4382
29,"State Routes",1,1202155,"RYDERS LANE (CO. RT. 617) OVER US 1",6.57998,MIDDLESEX,"North Brunswick township",40.4749,74.4279
30,"State Routes",1,1202156,"US 130 Southbound over US 1",83.4598,MIDDLESEX,"North Brunswick township",40.4625,74.4547
31,"State Routes",1,1203150,"US1NB/RARITAN RIVER & LOCAL ROADS.",27.7499,MIDDLESEX,"Edison township",40.4898,74.4134
32,"State Routes",1,1203151,"WOODBRIDGE AVE (CR514) OVER US 1",26.74,MIDDLESEX,"Edison township",40.4998,74.4074
33,"State Routes",1,1203154,"SOUTH MAIN STREET (CR531) OVER US 1",0.69,MIDDLESEX,"Edison township",40.5257,74.3585
34,"State Routes",1,1203155,"US 1 OVER BRANCH OF MILL BROOK",30.24,MIDDLESEX,"Edison township",40.5833,75.3
35,"State Routes",1,1203156,"ROUTE US 1 SOUTHBOUND / RARITAN RVR & LOCAL RDS",27.9,MIDDLESEX,"Edison township",40.4897,74.414
36,"State Routes",1,1204151,"US 1 OVER AMBOY AVENUE (CR 501)",32.73,MIDDLESEX,"Edison township",40.536,74.3438
37,"State Routes",1,1204153,"RT US 1 OVER CONRAIL (FRMRLY PORT READING BR.)",35.45,MIDDLESEX,"Woodbridge township",40.5601,74.3037
38,"State Routes",1,1204154,"RAMP FROM GSP OVER US ROUTE 1",130.63,MIDDLESEX,"Woodbridge township",40.5527,74.3178
39,"State Routes",1,1204155,"US 1 NORTHBOUND OVER US 9 SOUTHBOUND",35.8899,MIDDLESEX,"Woodbridge Township (CDP)",40.5648,74.2978
40,"State Routes",1+9,0201150,"US 1&9 / ABANDONED NYS&W RR & UNNAMED STREAM",60.71,BERGEN,"Fairview borough",40.8156,74.0087
41,"State Routes",1+9,0201151,"US 1&9 (BROAD AVENUE) OVER WOLF CREEK",61.32,BERGEN,"Ridgefield borough",40.8242,74.009
42,"State Routes",1+9,0202150,"ROUTES US 1&9&46/EAST HOMESTEAD AVENUE",63.17,BERGEN,"Palisades Park borough",40.8424,73.9944
43,"State Routes",1+9,0202151,"RTS US 1&9&46/EAST BRINKERHOFF AVE",63.29,BERGEN,"Palisades Park borough",40.8437,73.9931
44,"State Routes",1+9,0202152,"RTS US 1&9&46 OVER EAST CENTRAL BLVD (RT 501)",63.39,BERGEN,"Palisades Park borough",40.8449,73.9919
45,"State Routes",1+9,0202153,"ROUTES US 1&9&46 / EAST PALISADES BOULEVARD",63.51,BERGEN,"Palisades Park borough",40.8462,73.9906
46,"State Routes",1+9,0202154,"RTS US 1&9&46/EAST EDSALL BOULEVARD",63.71,BERGEN,"Palisades Park borough",40.8486,73.9882
47,"State Routes",1+9,0202155,"US 1,9 AND 46 OVER OAKDENE AVENUE",63.84,BERGEN,"Palisades Park borough",40.8502,73.9869
48,"State Routes",1+9,0202156,"US 1, 9 & 46 OVER NJ 63 SB",63.95,BERGEN,"Fort Lee borough",40.8515,73.9855
49,"State Routes",1+9,0202158,"US 1, 9 & 46 OVER MAIN ST (CR 56 III)",64.49,BERGEN,"Fort Lee borough",40.8579,73.9806
50,"State Routes",1+9,0202159,"US 1, 9 AND 46 OVER JONES ROAD",64.58,BERGEN,"Fort Lee borough",40.8585,73.9786
51,"State Routes",1+9,0202160,"US 1&9 NB AND US 46 EB OVER NJ 4 EB & NJ 4 RAMP B",64.7298,BERGEN,"Fort Lee borough",40.8583,73.977
52,"State Routes",1+9,0202161,"US1+9 SB & US 46 WB / I-95, NJ4 EB,& RAMPS B&L",64.7198,BERGEN,"Fort Lee borough",40.8589,73.9766
53,"State Routes",1+9,0701150,"McCLELLAN STREET/ROUTE US 1&9",0.6,ESSEX,"Newark city",40.6881,74.1923
54,"State Routes",1+9,0701152,"HAYNES AVENUE OVER ROUTE US 1&9",0.57,ESSEX,"Newark city",40.7021,74.1848
55,"State Routes",1+9,0701153,"ROUTE US 1&9 OVER PEDDIE DITCH",47.66,ESSEX,"Newark city",40.7058,74.1817
56,"State Routes",1+9,0703150,"ROUTE US 1&9 OVER ROUTE I-78",48.9,ESSEX,"Newark city",40.7093,74.1609
57,"State Routes",1+9,0703151,"US 1&9 NB/OAK ISL RR YD, FRONTAGE RD.",49.3,ESSEX,"Newark city",40.7118,74.1586
58,"State Routes",1+9,0703152,"US 1&9 SB OVER OAK ISLAND RR YD & STREETS",49.09,ESSEX,"Newark city",40.7117,74.1584
59,"State Routes",1+9,0703153,"SOUTH STREET VIADUCT OVER CONRAIL",1.09,ESSEX,"Newark city",40.718,74.16
60,"State Routes",1+9,0703154,"ROUTE US 1&9 NB OVER DELANCEY STREET",49.55,ESSEX,"Newark city",40.7167,74.1516
61,"State Routes",1+9,0703155,"US ROUTE 1 & 9 NORTHBOUND OVER CONRAIL (ABANDONED)",49.68,ESSEX,"Newark city",40.7181,74.1506
62,"State Routes",1+9,0703156,"ROUTE US 1&9 NB OVER WILSON AVENUE",49.91,ESSEX,"Newark city",40.7208,74.1482
63,"State Routes",1+9,0703160,"US ROUTE 1&9 NB/CONRAIL, RICHARDS LANE & ACCESS RD",50.57,ESSEX,"Newark city",40.7267,74.1389
64,"State Routes",1+9,0703161,"US 1&9 SB / CONRAIL & HAWKINS STREET",50.57,ESSEX,"Newark city",40.7269,74.139
65,"State Routes",1+9,0703168,"ROUTE US 1&9 NB OVER MAGAZINE STREET",50.15,ESSEX,"Newark city",40.7235,74.1446
