id,stationName,stationLat,stationLon,stationAddress,stationCity,stationState,stationCounty,stationHours,stationPhoneNumber,stationTypeGas
1,"Buena DOT",39.5155,-74.9285,"Rt. 40 near Catherine Avenue",Buena,NJ,Atlantic,"7:45 AM - 3:45 PM",609-697-1136,"Unleaded / Diesel"
2,"Buena Vista State Police",39.5779,-74.8683,"1045 Rt. 54 South of Rt. 322","Buena Vista Township",NJ,Atlantic,"7:00 AM - 7:00 PM",609-625-1105,Unleaded
3,"Hammonton Motor Pool",39.6549,-74.7958,"253-D North White Horse Pike",Hammonton,NJ,Atlantic,"24 Hours",609-757-2649,Unleaded
4,"Mays Landing DOT",39.4775,-74.7017,"5837 Apple Street","Mays Landing",NJ,Atlantic,"24 Hours",609-625-8284,"Unleaded / Diesel"
5,"Pomona DOT",39.4596,-74.5434,"Rt. 30 & W. McKinley Avenue",Pomona,NJ,Atlantic,"7:45 AM - 3:45 PM",609-441-3196,"Unleaded / Diesel"
6,"Lodi DOT",40.8884,-74.072,"Gregg St. 1 block off Rt. 17",Lodi,NJ,Bergen,"24 Hours",201-845-6564,"Unleaded / Diesel"
7,"Ramsey DOT",41.0657,-74.1205,"15 Arrow Road",Ramsey,NJ,Bergen,"7:45 AM - 3:45 PM",201-825-1076,"Unleaded / Diesel"
8,"Bordentown DOT",40.1318,-74.7166,"Dunns Mill Rd. off Rt. 130",Bordentown,NJ,Bordentown,"Unleaded - 24 Hours Diesel - 7:30 AM - 3:45 PM",609-298-2980,"Unleaded / Diesel"
9,"Edgewater Park DOT",40.0408,-74.9162,"Rt. 130 & Mt. Holly Rd. ","Edgewater Park",NJ,Bordentown,"24 Hours",609-877-8245,"Unleaded / Diesel"
10,"Mt. Laurel DOT",39.9674,-74.8893,"Rt. 38 East, 1/4 mile East of Rt. 295","Mt. Laurel",NJ,Bordentown,"24 Hours",856-235-3096,"Unleaded / Diesel"
11,"Southampton DOT",39.8891,-74.7448,"Rt. 70 West of Rt. 206 at Red Lion Circle",Southampton,NJ,Bordentown,"24 Hours",609-859-2335,"Unleaded / Diesel"
12,"Berlin DOT",39.8037,-74.9344,"36 Walker Avenue",Berlin,NJ,Camden,"24 Hours",856-767-7717,"Unleaded / Diesel"
13,"Cherry Hill DOT",39.9039,-74.9846,"Frontage Road & Rt. 70 near Rt. 295","Cherry Hill",NJ,Camden,"24 Hours",856-795-4748,"Unleaded / Diesel"
14,"Pennsauken DOT",39.9493,-75.0713,"3750 Rt. 130 & Federal St. Ramp Southbound",Pennsauken,NJ,Camden,"7:30 AM - 3:45 PM",856-665-2995,"Unleaded / Diesel"
15,"Middle Township DOT",39.0292,-74.8633,"Rt. 9 & W. Edgewood Ave.","Rio Grande",NJ,"Cape May","24 Hours",609-465-4201,"Unleaded / Diesel"
16,"North Wildwood State Police",39.0074,-74.7911,"1st & Central Ave.","North Wildwood",NJ,"Cape May","7:00 AM - 7:00 PM",609-522-6081,Unleaded
17,"Petersburg DOT",39.2596,-74.7307,"400 Old Tuckahoe Road",Petersburg,NJ,"Cape May","24 Hours",609-628-2533,"Unleaded / Diesel"
18,"Woodbine Dev. Center",39.2341,-74.8035,"1175 DeHirsch Ave. & Fantail ",Woodbine,NJ,"Cape May","24 Hours",609-861-6021,"Unleaded / Diesel"
19,"Bayside Facility",39.2334,-74.9657,"4294 Rt. 47",Leesburg,NJ,Cumberland,"24 Hours","856-785-0040 x 5429","Unleaded / Diesel"
20,"Cumberland DOT",39.3642,-74.9308,"Rt. 49 & Hesstown Rd.",Cumberland,NJ,Cumberland,"24 Hours",856-825-3320,"Unleaded / Diesel"
21,"Port Norris State Police",39.288,-75.0125,"8861 Highland Street","Port Norris",NJ,Cumberland,"7:00 AM - 7:00 PM",609-785-0036,Unleaded
22,"Southwoods State Prison",39.415,-75.2125,"1 N. Industrial Blvd & 215 S. Burlington Rd.",Bridgeton,NJ,Cumberland,"24 Hours",856-459-7600,"Unleaded / Diesel"
23,"Vineland DOT",39.4578,-75.0419,"1959 Delsea Dr. & West Elmer Rd.",Vineland,NJ,Cumberland,"24 Hours",856-696-6805,"Unleaded / Diesel"
24,"Newark DOT",40.7094,-74.1757,"Jct. Rts. 1,9,21,22",Newark,NJ,Essex,"24 Hours",973-648-2725,"Unleaded / Diesel"
25,"West Orange DOT",40.7837,-74.276,"1255 Pleasant Valley Way at National Guard Armory","West Orange",NJ,Essex,"7:30 AM - 3:45 PM",,"Unleaded / Diesel"
26,"Bridgeport DOT",39.8041,-75.3444,"Rts. 130 & 322",Bridgeport,NJ,Gloucester,"24 Hours",856-467-0737,"Unleaded / Diesel"
27,"Deptford DOT",39.8323,-75.0915,"Superior Way off Rt. 41 at Rt. 42",Deptford,NJ,Gloucester,"24 Hours",856-227-8080,"Unleaded / Diesel"
28,"Glassboro DOT",39.6966,-75.1085,"126 Grove Street at Rt. 47",Glassboro,NJ,Gloucester,"24 Hours",856-881-1711,"Unleaded / Diesel"
29,"West Deptford DOT",39.8649,-75.1458,"1140 Crown Point Rd. at MP 24 & 25",Westville,NJ,Gloucester,"24 Hours",856-845-2850,"Unleaded / Diesel"
30,"Jersey City DOT",40.7369,-74.0802,"401 Rts. 1&9 Truck Rte Southbound","Jersey City",NJ,Hudson,"24 Hours",201-451-0435,"Unleaded / Diesel"
31,"Bloomsbury DOT",40.6608,-75.0666,"1000 Rt. 173",Bloomsbury,NJ,Hunterdon,"24 Hours",908-479-4851,"Unleaded / Diesel"
32,"Clinton Point DOT",40.6404,-74.889,"84 Beaver Ave.",Clinton,NJ,Hunterdon,"24 Hours",908-735-4002,"Unleaded / Diesel"
33,"Flemington DOT",40.5092,-74.8513,"Rt. 31 at Railroad Crossing",Flemington,NJ,Hunterdon,"24 Hours",908-782-3025,"Unleaded / Diesel"
34,"West Amwell DOT",40.3855,-74.9153,"1406 Rt. 179","West Amwell",NJ,Hunterdon,"7:45 AM - 3:45 PM",609-397-2349,"Unleaded / Diesel"
35,"Eggerts Crossing Garage",40.2727,-74.7467,"161 Eggerts Crossing Rd.",Lawrenceville,NJ,Mercer,"7:15 AM - 3:15 PM",609-530-2073,Unleaded
36,"Fernwood DOT",40.2569,-74.7982,"999 Parkway Ave.",Trenton,NJ,Mercer,"24 Hours",609-530-2208,"Unleaded / Diesel"
37,"Hamilton DOT",40.2048,-74.6359,"2779 Kuser Road",Hamilton,NJ,Mercer,"24 Hours",609-584-4328,"Unleaded / Diesel"
38,"Hamilton State Police",39.519,-74.6929,"1400 Negron Drive",Trenton,NJ,Mercer,"7:00 AM - 7:00 PM",609-584-5000,Unleaded
39,"Lawrence Twp. DOT",40.2654,-74.7163,"2798 Brunswick Avenue",Lawrenceville,NJ,Mercer,"24 Hours",609-530-2650,"Unleaded / Diesel"
40,"Washington Twp. DOT",40.2452,-74.5685,"Rt. 130 & Voelbel Rd. ","Washington Twp.",NJ,Mercer,"24 Hours",609-448-4224,"Unleaded / Diesel"
41,"West Trenton DOT",40.2765,-74.826,"780 Bear Tavern Road","West Trenton",NJ,Mercer,"24 Hours",609-883-5049,"Unleaded / Diesel"
42,"College Farm DOT",40.4663,-74.4315,"Rt. 1 NB at College Farm Road","North Brunswick",NJ,Middlesex,"24 Hours",732-247-5775,"Unleaded / Diesel"
43,"East Brunswick Public Works",40.4461,-74.4079,"4 Harts Lane","East Brunswick",NJ,Middlesex,"8:00 AM - 4:00 PM",732-390-6886,Non-Automated
44,"Keasbey/Woodbridge DOT",40.5181,-74.3097,"Smith St. off Rt. 440 to 90 Crows Mill Road",Keasbey,NJ,Middlesex,"24 Hours",732-738-3206,"Unleaded / Diesel"
45,"Sand Hill DOT",40.4111,-74.5443,"3919 Rt. 1","Monmouth Junction",NJ,Middlesex,"24 Hours",732-297-0671,"Unleaded / Diesel"
46,"Sayreville DOT",40.4902,-74.3003,"25 Melrose Avenue",Sayreville,NJ,Middlesex,"7:30 AM - 4:00 PM",,Diesel
47,"Woodbridge Dev. Center",40.5834,-74.268,"1277 Rahway Avenue",Woodbridge,NJ,Middlesex,"24 Hours",732-499-5168,"Unleaded / Diesel"
48,"Freehold DOT",40.2437,-74.2713,"200 Daniels Way off Rt. 79",Freehold,NJ,Monmouth,"24 Hours",732-625-4370,"Unleaded / Diesel"
49,"Hazlet DOT",40.4228,-74.2098,"370 Clark Street ",Hazlet,NJ,Monmouth,"7:45 AM - 3:45 PM",732-264-5387,Diesel
50,"Ocean Twp. DOT",40.2328,-74.0604,"100 Bowne Rd. at Rt. 66","Ocean Township",NJ,Monmouth,"24 Hours",732-922-1310,"Unleaded / Diesel"
51,"Wall Twp. DOT",40.1227,-74.0771,"2436 Paynters Road","Wall Township",NJ,Monmouth,"24 Hours",732-528-7339,"Unleaded / Diesel"
52,"Netcong DOT",40.8934,-74.6964,"90 Rt. 183 North",Netcong,NJ,Morris,"24 Hours",973-691-4917,"Unleaded / Diesel"
53,"Riverdale DOT",40.9896,-74.3011,"1 Riverdale Rd. behind National Guard Armory",Riverdale,NJ,Morris,"Unleaded - 24 Hours Diesel - 7:30 AM - 4:00 PM",973-839-2077,"Unleaded / Diesel"
54,"Rockaway DOT",40.9186,-74.5865,"200 Rt. 15 South MP 3",Wharton,NJ,Morris,"7:30 AM - 3:45 PM",973-361-8701,"Unleaded / Diesel"
55,"Lakewood DOT",40.0496,-74.2234,"45 Honey Locust Drive behind 84 Lumber",Lakewood,NJ,Ocean,"24 Hours",732-942-2700,"Unleaded / Diesel"
56,"Manahawkin DOT",39.6945,-74.2649,"Rt. 72 at Rt. 9 South to 123 Grassy Hollow Rd.",Manahawkin,NJ,Ocean,"7:45 AM - 3:45 PM",609-597-2166,"Unleaded / Diesel"
57,"Toms River DOT",39.9681,-74.2357,"743 Rt. 37 West ","Toms River",NJ,Ocean,"24 Hours",732-341-2216,"Unleaded / Diesel"
58,"Clifton DOT",40.839,-74.1616,"Bloomfield Ave East & Isabella St.",Clifton,NJ,"Passaic ","24 Hours",201-866-7274,"Unleaded / Diesel"
59,"Totowa DOT",40.8978,-74.2298,"300 Minisink Rd. off Rt. 80 West Bound",Totowa,NJ,"Passaic ","24 Hours",973-785-9310,"Unleaded / Diesel"
60,"Paterson DOT",40.9359,-74.1419,"1 McClean Blvd.",Paterson,NJ,"Passaic ","24 Hours",973-278-5541,"Unleaded / Diesel"
61,"Deepwater DOT",39.6779,-75.487,"County Rd. 551 Exit 1C Rt. 295 SB",Deepwater,NJ,Salem,"24 Hours",856-299-3407,"Unleaded / Diesel"
62,"Elmer DOT",39.5984,-75.1492,"355 Rt. 40 MP 21.5",Pittsgrove,NJ,Salem,"7:30 AM - 3:45 PM",856-358-8813,"Unleaded / Diesel"
63,"Bedminster DOT",40.6512,-74.645,"455 Rt. 202/206 South",Pluckemin,NJ,Somerset,"24 Hours",908-234-2130,"Unleaded / Diesel"
64,"Bridgewater DOT",40.59,-74.6264,"150 Commons Way","Bridgewater ",NJ,Somerset,"24 Hours",908-704-3096,"Unleaded / Diesel"
65,"Branchville DOT",41.1515,-74.7683,"349 Rt. 206",Branchville,NJ,Sussex,"24 Hours",973-948-3590,"Unleaded / Diesel"
66,"Lafayette DOT",41.0927,-74.6779,"38 Rt. 94",Lafayette,NJ,Sussex,"24 Hours",973-383-3003,"Unleaded / Diesel"
67,"Sussex DOT",41.1999,-74.5973,"Rt. 24 North at County Rd. 565",Sussex,NJ,Sussex,"7:30 AM - 3:45 PM",973-875-4719,"Unleaded / Diesel"
68,"Summit DOT",40.7163,-74.3298,"46 Springfield Avenue ",Summit,NJ,Union,"7:30 AM - 4:00 PM",973-376-1302,"Unleaded / Diesel"
69,"Columbia DOT",40.9353,-75.1019,"24 Simpson Street",Columbia,NJ,Warren,"24 Hours",908-496-4088,"Unleaded / Diesel"
70,"Port Colden DOT",40.7659,-74.9322,"619 Rt. 57 behind State Police Building","Port Colden",NJ,Warren,"24 Hours",908-689-0570,"Unleaded / Diesel"
71,"Yellow Frame DOT",40.9883,-74.8852,"Rt. 94 between Mott Rd. & Kerr Rd.",Marksboro,NJ,Warren,"7:45 AM - 3:45 PM",908-362-6896,Diesel
